id;project_id;bid_id;worker_id;unread_employer;unread_worker;total_messages;favorite;last_by;created;created_at
35498253;3164339;26253728;117966;1;0;1;FALSO;worker;2025-7-16, 21:42;16/07/2025
35432346;3164341;26208589;4330161;1;0;1;FALSO;worker;2025-7-11, 16:35;11/07/2025
35432366;3164341;26208605;10434065;1;0;1;FALSO;worker;2025-7-11, 16:37;11/07/2025
35433487;3164341;26209326;10412882;1;0;1;FALSO;worker;2025-7-11, 18:10;11/07/2025
35437962;3164341;26212321;10429841;1;0;1;FALSO;worker;2025-7-12, 11:18;12/07/2025
35442796;3164341;26215695;8221061;1;0;1;FALSO;worker;2025-7-12, 23:56;12/07/2025
35458646;3164341;26226388;10643901;1;0;1;FALSO;worker;2025-7-14, 13:52;14/07/2025
35432234;3164343;26208621;8804130;0;0;1;FALSO;worker;2025-7-11, 16:28;11/07/2025
35432576;3164343;26208754;10587968;0;0;1;FALSO;worker;2025-7-11, 16:52;11/07/2025
35432578;3164343;26208755;9607968;0;0;1;FALSO;worker;2025-7-11, 16:52;11/07/2025
35432615;3164343;26208771;9401095;0;0;1;FALSO;worker;2025-7-11, 16:54;11/07/2025
35432700;3164343;26208827;9774223;1;0;4;FALSO;worker;2025-7-11, 17:03;11/07/2025
35432809;3164343;26208903;324717;0;0;1;FALSO;worker;2025-7-11, 17:12;11/07/2025
35432824;3164343;26208915;609860;0;0;1;FALSO;worker;2025-7-11, 17:13;11/07/2025
35432847;3164343;26208932;1310260;0;0;1;FALSO;worker;2025-7-11, 17:16;11/07/2025
35432868;3164343;26208942;4682;0;0;1;FALSO;worker;2025-7-11, 17:17;11/07/2025
35433073;3164343;26209064;8358860;0;0;1;FALSO;worker;2025-7-11, 17:33;11/07/2025
35433383;3164343;26209245;335607;0;0;1;FALSO;worker;2025-7-11, 17:56;11/07/2025
35433287;3164343;26209253;8698689;0;0;14;FALSO;worker;2025-7-11, 17:50;11/07/2025
35433556;3164343;26209385;9772555;0;0;1;FALSO;worker;2025-7-11, 18:19;11/07/2025
35433281;3164343;26209391;4282241;0;0;7;FALSO;worker;2025-7-11, 17:49;11/07/2025
35433260;3164343;26209419;548459;0;0;3;FALSO;worker;2025-7-11, 17:48;11/07/2025
35433645;3164343;26209445;9897574;0;0;1;FALSO;worker;2025-7-11, 18:29;11/07/2025
35433864;3164343;26209568;4538844;0;0;1;FALSO;worker;2025-7-11, 18:49;11/07/2025
35433958;3164343;26209629;1005890;0;0;2;FALSO;worker;2025-7-11, 19:01;11/07/2025
35434052;3164343;26209713;305702;0;0;1;FALSO;worker;2025-7-11, 19:13;11/07/2025
35434201;3164343;26209838;602694;0;0;1;FALSO;worker;2025-7-11, 19:31;11/07/2025
35434218;3164343;26209852;8953816;0;0;1;FALSO;worker;2025-7-11, 19:33;11/07/2025
35434378;3164343;26209966;756178;0;0;1;FALSO;worker;2025-7-11, 19:55;11/07/2025
35434380;3164343;26209968;7596357;0;0;1;FALSO;worker;2025-7-11, 19:55;11/07/2025
35434388;3164343;26209972;10145186;0;0;2;FALSO;worker;2025-7-11, 19:56;11/07/2025
35434410;3164343;26209991;8882081;0;0;1;FALSO;worker;2025-7-11, 19:59;11/07/2025
35434416;3164343;26209995;9777189;0;0;1;FALSO;worker;2025-7-11, 20:00;11/07/2025
35434803;3164343;26210278;4198204;0;0;1;FALSO;worker;2025-7-11, 20:55;11/07/2025
35434899;3164343;26210356;287645;1;0;3;FALSO;worker;2025-7-11, 21:09;11/07/2025
35434965;3164343;26210393;5134459;0;0;5;FALSO;worker;2025-7-11, 21:17;11/07/2025
35435244;3164343;26210562;944394;0;0;1;FALSO;worker;2025-7-11, 21:55;11/07/2025
35435477;3164343;26210735;3626041;0;0;1;FALSO;worker;2025-7-11, 22:40;11/07/2025
35435500;3164343;26210753;10467784;0;0;1;FALSO;worker;2025-7-11, 22:45;11/07/2025
35435608;3164343;26210836;9663527;0;0;1;FALSO;worker;2025-7-11, 23:10;11/07/2025
35435708;3164343;26210918;9307655;0;0;6;FALSO;worker;2025-7-11, 23:30;11/07/2025
35435858;3164343;26211018;2641565;0;0;1;FALSO;worker;2025-7-12, 00:12;12/07/2025
35435863;3164343;26211022;7142118;0;0;1;FALSO;worker;2025-7-12, 00:14;12/07/2025
35436280;3164343;26211282;2531063;0;0;1;FALSO;worker;2025-7-12, 03:19;12/07/2025
35437038;3164343;26211774;10022992;2;0;3;FALSO;worker;2025-7-12, 09:23;12/07/2025
35438876;3164343;26212956;9110857;0;0;1;FALSO;worker;2025-7-12, 13:15;12/07/2025
35440093;3164343;26213778;4900492;0;0;1;FALSO;worker;2025-7-12, 15:41;12/07/2025
35441255;3164343;26214581;1320804;0;0;0;FALSO;worker;2025-7-12, 18:29;12/07/2025
35441450;3164343;26214728;1819546;0;0;2;FALSO;worker;2025-7-12, 18:56;12/07/2025
35442288;3164343;26215306;159844;0;0;1;FALSO;worker;2025-7-12, 21:36;12/07/2025
35442554;3164343;26215511;1885273;0;0;1;FALSO;worker;2025-7-12, 22:56;12/07/2025
35443081;3164343;26215865;10483599;0;0;1;FALSO;worker;2025-7-13, 01:25;13/07/2025
35445392;3164343;26217311;818778;0;0;1;FALSO;worker;2025-7-13, 13:20;13/07/2025
35445633;3164343;26217480;6096065;0;0;3;FALSO;worker;2025-7-13, 13:57;13/07/2025
35446983;3164343;26218341;106371;0;0;1;FALSO;worker;2025-7-13, 17:18;13/07/2025
35449121;3164343;26219761;7487456;0;0;1;FALSO;worker;2025-7-13, 21:30;13/07/2025
35455536;3164343;26224276;66114;1;0;1;FALSO;worker;2025-7-14, 11:37;14/07/2025
35456379;3164343;26224829;4464774;1;0;1;FALSO;worker;2025-7-14, 12:12;14/07/2025
35462788;3164343;26229323;5008281;1;0;1;FALSO;worker;2025-7-14, 17:13;14/07/2025
35463184;3164343;26229571;1263287;1;0;1;FALSO;worker;2025-7-14, 17:32;14/07/2025
35463500;3164343;26229751;454089;1;0;1;FALSO;worker;2025-7-14, 17:46;14/07/2025
35464529;3164343;26230487;4518303;6;0;6;FALSO;worker;2025-7-14, 18:47;14/07/2025
35470288;3164343;26234644;7541539;1;0;1;FALSO;worker;2025-7-15, 09:03;15/07/2025
35475633;3164343;26238384;1775072;1;0;1;FALSO;worker;2025-7-15, 14:05;15/07/2025
35483005;3164343;26243514;1158615;1;0;1;FALSO;worker;2025-7-15, 22:06;15/07/2025
35498167;3164343;26253659;117966;1;0;1;FALSO;worker;2025-7-16, 21:35;16/07/2025
35533101;3164343;26276309;3041178;2;0;2;FALSO;worker;2025-7-20, 08:39;20/07/2025
35432561;3164362;26208745;2888411;0;0;1;FALSO;worker;2025-7-11, 16:51;11/07/2025
35432727;3164362;26208842;5858329;0;0;1;FALSO;worker;2025-7-11, 17:05;11/07/2025
35432796;3164362;26208892;7548338;0;0;1;FALSO;worker;2025-7-11, 17:11;11/07/2025
35432801;3164362;26208896;10432699;0;0;1;FALSO;worker;2025-7-11, 17:11;11/07/2025
35433155;3164362;26209111;5297539;0;0;1;FALSO;worker;2025-7-11, 17:39;11/07/2025
35433524;3164362;26209356;5887523;0;0;8;FALSO;worker;2025-7-11, 18:15;11/07/2025
35435561;3164362;26210803;5248418;0;0;1;FALSO;worker;2025-7-11, 22:58;11/07/2025
35444624;3164362;26216804;10285092;0;0;1;FALSO;worker;2025-7-13, 11:35;13/07/2025
35445670;3164362;26217505;609860;0;0;2;FALSO;worker;2025-7-13, 14:05;13/07/2025
35448684;3164362;26219451;275721;0;0;1;FALSO;worker;2025-7-13, 20:42;13/07/2025
35450501;3164362;26220760;588724;0;0;1;FALSO;worker;2025-7-14, 01:12;14/07/2025
35452529;3164362;26222277;3421878;0;0;1;FALSO;worker;2025-7-14, 09:24;14/07/2025
35454544;3164362;26223615;1935902;0;0;1;FALSO;worker;2025-7-14, 10:59;14/07/2025
35457219;3164362;26225411;1626314;0;0;1;FALSO;worker;2025-7-14, 12:45;14/07/2025
35432680;3164362;26227351;7946760;0;0;274;VERDADEIRO;employer;2025-7-11, 17:01;11/07/2025
35432545;3164365;26208736;2888411;1;0;1;FALSO;worker;2025-7-11, 16:50;11/07/2025
35432548;3164365;26208738;7300348;2;0;2;FALSO;worker;2025-7-11, 16:50;11/07/2025
35432630;3164365;26208781;10650135;5;0;5;FALSO;worker;2025-7-11, 16:55;11/07/2025
35432932;3164365;26208977;10611421;4;0;4;FALSO;worker;2025-7-11, 17:21;11/07/2025
35433044;3164365;26209048;4180497;1;0;1;FALSO;worker;2025-7-11, 17:29;11/07/2025
35433150;3164365;26209107;5297539;1;0;1;FALSO;worker;2025-7-11, 17:39;11/07/2025
35433199;3164365;26209137;10215029;4;0;4;FALSO;worker;2025-7-11, 17:43;11/07/2025
35433225;3164365;26209156;6622009;1;0;1;FALSO;worker;2025-7-11, 17:45;11/07/2025
35433616;3164365;26209426;10603558;1;0;1;FALSO;worker;2025-7-11, 18:25;11/07/2025
35434254;3164365;26209878;2403101;8;0;8;FALSO;worker;2025-7-11, 19:38;11/07/2025
35434476;3164365;26210038;879106;0;0;1;FALSO;worker;2025-7-11, 20:10;11/07/2025
35435172;3164365;26210521;4109913;1;0;1;FALSO;worker;2025-7-11, 21:46;11/07/2025
35435258;3164365;26210575;3306085;1;0;1;FALSO;worker;2025-7-11, 21:57;11/07/2025
35435586;3164365;26210818;5248418;1;0;1;FALSO;worker;2025-7-11, 23:05;11/07/2025
35438043;3164365;26212387;9647454;4;0;4;FALSO;worker;2025-7-12, 11:29;12/07/2025
35432842;3164371;26208927;10279113;0;0;1;FALSO;worker;2025-7-11, 17:15;11/07/2025
35432856;3164371;26208939;10026290;0;0;1;FALSO;worker;2025-7-11, 17:16;11/07/2025
35432912;3164371;26208962;1302379;0;0;1;FALSO;worker;2025-7-11, 17:20;11/07/2025
35433046;3164371;26209049;879106;0;0;1;FALSO;worker;2025-7-11, 17:29;11/07/2025
35433378;3164371;26209241;9146709;1;0;5;FALSO;worker;2025-7-11, 17:56;11/07/2025
35434139;3164371;26209783;9376691;0;0;1;FALSO;worker;2025-7-11, 19:22;11/07/2025
35476543;3164371;26238997;941308;1;0;1;FALSO;worker;2025-7-15, 14:46;15/07/2025
35432719;3164373;26208835;9907027;0;0;1;FALSO;worker;2025-7-11, 17:05;11/07/2025
35432984;3164373;26209009;215855;0;0;1;FALSO;worker;2025-7-11, 17:24;11/07/2025
35433141;3164373;26209101;4705037;0;0;5;FALSO;worker;2025-7-11, 17:38;11/07/2025
35433450;3164373;26209303;7142118;0;0;1;FALSO;worker;2025-7-11, 18:07;11/07/2025
35433514;3164373;26209345;4538844;0;0;1;FALSO;worker;2025-7-11, 18:14;11/07/2025
35433539;3164373;26209371;9772555;0;0;1;FALSO;worker;2025-7-11, 18:17;11/07/2025
35433560;3164373;26209388;9897574;0;0;1;FALSO;worker;2025-7-11, 18:20;11/07/2025
35434363;3164373;26209955;7596357;0;0;1;FALSO;worker;2025-7-11, 19:52;11/07/2025
35437268;3164373;26211886;10022990;0;0;5;FALSO;worker;2025-7-12, 09:56;12/07/2025
35445122;3164373;26217139;10292812;0;0;21;VERDADEIRO;employer;2025-7-13, 12:46;13/07/2025
35455486;3164373;26224240;4464774;0;0;1;FALSO;worker;2025-7-14, 11:34;14/07/2025
35462759;3164373;26229305;5008281;0;0;1;FALSO;worker;2025-7-14, 17:11;14/07/2025
35464627;3164373;26230552;4518303;0;0;6;FALSO;worker;2025-7-14, 18:53;14/07/2025
35432800;3164377;26208895;10362338;0;0;11;FALSO;worker;2025-7-11, 17:11;11/07/2025
35443445;3164377;26216063;10609934;0;0;5;FALSO;worker;2025-7-13, 06:02;13/07/2025
35445324;3164377;26217263;10477297;0;0;11;FALSO;worker;2025-7-13, 13:11;13/07/2025
35450536;3164377;26220783;9840842;0;0;4;FALSO;worker;2025-7-14, 01:23;14/07/2025
35450851;3164377;26220975;227066;0;0;3;FALSO;worker;2025-7-14, 03:03;14/07/2025
35450952;3164377;26221041;10055231;0;0;6;FALSO;worker;2025-7-14, 03:57;14/07/2025
35451303;3164377;26221332;10552666;0;0;4;FALSO;worker;2025-7-14, 07:03;14/07/2025
35451694;3164377;26221673;9615814;0;0;8;FALSO;worker;2025-7-14, 08:12;14/07/2025
35457805;3164377;26225846;10602548;0;0;1;FALSO;worker;2025-7-14, 13:13;14/07/2025
35461730;3164377;26228540;10420946;0;0;1;FALSO;worker;2025-7-14, 16:21;14/07/2025
35443621;3164377;26232840;10675724;0;0;5;FALSO;worker;2025-7-13, 07:26;13/07/2025
35527378;3164377;26272639;10400293;0;0;1;FALSO;worker;2025-7-19, 11:15;19/07/2025
35577381;3164377;26306757;9876182;0;0;1;FALSO;worker;2025-7-23, 11:28;23/07/2025
35432911;3164381;26208961;10461647;0;0;1;FALSO;worker;2025-7-11, 17:20;11/07/2025
35432714;3164385;26208833;5858329;0;0;18;VERDADEIRO;worker;2025-7-11, 17:04;11/07/2025
35432923;3164385;26208970;7548338;0;0;13;VERDADEIRO;employer;2025-7-11, 17:20;11/07/2025
35433068;3164385;26209062;4180497;0;0;1;FALSO;worker;2025-7-11, 17:32;11/07/2025
35433087;3164385;26209069;2888411;0;0;1;FALSO;worker;2025-7-11, 17:34;11/07/2025
35433145;3164385;26209104;5297539;0;0;1;FALSO;worker;2025-7-11, 17:39;11/07/2025
35433851;3164385;26209563;1114712;0;0;1;FALSO;worker;2025-7-11, 18:48;11/07/2025
35434527;3164385;26210061;153472;0;0;1;FALSO;worker;2025-7-11, 20:15;11/07/2025
35435164;3164385;26210516;1189890;0;0;1;FALSO;worker;2025-7-11, 21:46;11/07/2025
35436721;3164385;26211533;9560088;0;0;2;FALSO;worker;2025-7-12, 08:06;12/07/2025
35438210;3164385;26212499;9647454;0;0;3;FALSO;worker;2025-7-12, 11:53;12/07/2025
35440721;3164385;26214204;10379427;0;0;1;FALSO;worker;2025-7-12, 17:09;12/07/2025
35442146;3164385;26215179;4435704;0;0;2;FALSO;worker;2025-7-12, 21:05;12/07/2025
35442434;3164385;26215425;2090938;0;0;1;FALSO;worker;2025-7-12, 22:18;12/07/2025
35442437;3164385;26215428;9885012;0;0;1;FALSO;worker;2025-7-12, 22:19;12/07/2025
35442925;3164385;26215775;5455949;0;0;1;FALSO;worker;2025-7-13, 00:35;13/07/2025
35444604;3164385;26216788;10285092;2;0;50;VERDADEIRO;worker;2025-7-13, 11:28;13/07/2025
35446266;3164385;26217925;850636;0;0;1;FALSO;worker;2025-7-13, 15:31;13/07/2025
35450488;3164385;26220746;588724;0;0;1;FALSO;worker;2025-7-14, 01:07;14/07/2025
35454556;3164385;26223623;1935902;0;0;1;FALSO;worker;2025-7-14, 11:00;14/07/2025
35460027;3164385;26227373;8755768;0;0;1;FALSO;worker;2025-7-14, 14:54;14/07/2025
35451218;3164390;26221255;10055231;1;0;1;FALSO;worker;2025-7-14, 06:31;14/07/2025
35455640;3164390;26224342;8549318;1;0;1;FALSO;worker;2025-7-14, 11:42;14/07/2025
35432966;3164399;26208998;10611421;0;0;4;FALSO;worker;2025-7-11, 17:23;11/07/2025
35433437;3164399;26209293;6888858;0;0;1;FALSO;worker;2025-7-11, 18:05;11/07/2025
35433767;3164399;26209511;10026290;0;0;2;FALSO;worker;2025-7-11, 18:40;11/07/2025
35433787;3164399;26209519;6709534;0;0;1;FALSO;worker;2025-7-11, 18:41;11/07/2025
35433790;3164399;26209521;10279113;0;0;2;FALSO;worker;2025-7-11, 18:42;11/07/2025
35434530;3164399;26210063;18292;0;0;1;FALSO;worker;2025-7-11, 20:15;11/07/2025
35434548;3164399;26210079;153472;0;0;1;FALSO;worker;2025-7-11, 20:18;11/07/2025
35435744;3164399;26210948;1896301;1;0;2;FALSO;worker;2025-7-11, 23:40;11/07/2025
35436148;3164399;26211201;1290725;0;0;1;FALSO;worker;2025-7-12, 01:40;12/07/2025
35442193;3164399;26215218;4435704;0;0;2;FALSO;worker;2025-7-12, 21:12;12/07/2025
35478189;3164399;26240116;4493963;1;0;1;FALSO;worker;2025-7-15, 16:14;15/07/2025
35433101;3164400;26209076;5320475;0;0;19;FALSO;employer;2025-7-11, 17:35;11/07/2025
35451058;3164405;26221121;10055231;1;0;1;FALSO;worker;2025-7-14, 05:17;14/07/2025
35452244;3164405;26222079;10424886;1;0;1;FALSO;worker;2025-7-14, 09:07;14/07/2025
35455615;3164405;26224326;8549318;1;0;1;FALSO;worker;2025-7-14, 11:41;14/07/2025
35433204;3164406;26209141;1916734;1;0;2;FALSO;worker;2025-7-11, 17:44;11/07/2025
35433333;3164415;26209209;10611421;4;0;4;FALSO;worker;2025-7-11, 17:52;11/07/2025
35433355;3164415;26209225;10293594;1;0;1;FALSO;worker;2025-7-11, 17:54;11/07/2025
35433429;3164415;26209286;7058422;7;0;7;FALSO;worker;2025-7-11, 18:04;11/07/2025
35434179;3164415;26209817;8018811;1;0;1;FALSO;worker;2025-7-11, 19:28;11/07/2025
35434375;3164415;26209964;10432699;1;0;1;FALSO;worker;2025-7-11, 19:55;11/07/2025
35435215;3164415;26210541;3306085;2;0;2;FALSO;worker;2025-7-11, 21:51;11/07/2025
35438569;3164415;26212746;8019461;1;0;1;FALSO;worker;2025-7-12, 12:38;12/07/2025
35443290;3164415;26215971;3908734;1;0;1;FALSO;worker;2025-7-13, 03:00;13/07/2025
35447678;3164415;26218763;730935;1;0;1;FALSO;worker;2025-7-13, 18:44;13/07/2025
35448930;3164415;26219633;8077993;1;0;1;FALSO;worker;2025-7-13, 21:10;13/07/2025
35454092;3164415;26223306;496681;1;0;1;FALSO;worker;2025-7-14, 10:41;14/07/2025
35454575;3164415;26223633;1935902;1;0;1;FALSO;worker;2025-7-14, 11:01;14/07/2025
35460274;3164415;26227544;8755768;0;0;0;FALSO;worker;2025-7-14, 15:04;14/07/2025
35465343;3164415;26231047;448641;1;0;1;FALSO;worker;2025-7-14, 19:42;14/07/2025
